Date,SO2 Flux
1-Apr-23,2652
3-Apr-23,3097
6-Apr-23,1675
10-Apr-23,1706
17-Apr-23,3327
20-Apr-23,4080
24-Apr-23,3351
27-Apr-23,3645
1-May-23,2881
4-May-23,2724
8-May-23,3679
11-May-23,1766
18-May-23,704
22-May-23,6394
24-May-23,3730
29-May-23,6565
1-Jun-23,5831
5-Jun-23,9391
6-Jun-23,7680
7-Jun-23,5718
8-Jun-23,2941
10-Jun-23,6304
11-Jun-23,6884
12-Jun-23,5024
15-Jun-23,7643
19-Jun-23,2177
22-Jun-23,4706
28-Jun-23,7480
30-Jun-23,1165
3-Jul-23,4472
6-Jul-23,9623
10-Jul-23,3482
12-Jul-23,5887
12-Jul-23,5887
19-Jul-23,3305
22-Jul-23,1874
24-Jul-23,4510
31-Jul-23,5178
7-Aug-23,2231
10-Aug-23,1209
14-Aug-23,2605
17-Aug-23,4819
21-Aug-23,3763
24-Aug-23,1141
9-Sep-23,2371
11-Sep-23,2485
15-Sep-23,3264
19-Sep-23,4322
21-Sep-23,4569
22-Sep-23,2730
26-Sep-23,2390
28-Sep-23,2088
29-Sep-23,3793
30-Sep-23,1902
2-Oct-23,4638
4-Oct-23,3465
5-Oct-23,6051
6-Oct-23,2887
12-Oct-23,9762
14-Oct-23,4878
16-Oct-23,7560
20-Oct-23,6812
23-Oct-23,7814
26-Oct-23,6661
